year,month,avg_tripduration,num_trips,birth_year,gender
2018,1,797,5737,1985,female
2018,1,851,12690,1977,male
2018,1,659,18972,1987,male
2018,1,2669,26166,1969,unknown
2018,1,625,15520,1981,male
2018,1,792,3181,1994,female
2018,1,651,18539,1991,male
2018,1,6782,3237,1953,male
2018,1,720,12782,1970,male
2018,1,637,9047,1994,male
2018,1,734,11023,1969,male
2018,1,757,2576,1971,female
2018,1,670,2560,1998,male
2018,1,639,6009,1995,male
2018,1,715,2118,1964,female
2018,1,860,1838,1958,female
2018,1,667,1522,1996,female
2018,1,735,1316,1950,male
2018,1,616,35,1993,unknown
2018,1,794,2680,1975,female
2018,1,651,49,1946,unknown
2018,1,815,1617,1957,female
2018,1,17689,119,1977,unknown
2018,1,519,27,1939,unknown
2018,1,479,105,1981,unknown
2018,1,575,42,1994,unknown
2018,1,753,37,1965,unknown
2018,1,784,53,1887,unknown
2018,1,716,213,1946,female
2018,1,704,19,1991,unknown
2018,1,572,66,1940,female
2018,1,734,220,1980,unknown
2018,1,573,91,1974,unknown
2018,1,224,14,1921,male
2018,1,455,12,1929,male
2018,1,430,4,2002,male
2018,1,699,2675,1962,female
2018,1,745,11207,1973,male
2018,1,647,19771,1988,male
2018,1,676,11874,1976,male
2018,1,636,17238,1983,male
2018,1,368,44,1961,unknown
2018,1,810,4785,1993,female
2018,1,690,2710,1972,female
2018,1,596,437,1945,male
2018,1,867,1105,1954,female
2018,1,686,20330,1985,male
2018,1,782,5802,1992,female
2018,1,689,14849,1979,male
2018,1,707,6455,1959,male
2018,1,729,2844,1966,female
2018,1,628,17026,1992,male
2018,1,693,9993,1964,male
2018,1,723,3282,1976,female
2018,1,809,5169,1956,male
2018,1,746,6058,1991,female
2018,1,799,2662,1969,female
2018,1,630,18820,1986,male
2018,1,788,1111,1948,male
2018,1,704,3055,1978,female
2018,1,789,2089,1960,female
2018,1,713,164,1982,unknown
2018,1,1262,6654,1990,female
2018,1,648,927,1946,male
2018,1,1025,76,1995,unknown
2018,1,789,301,1941,male
2018,1,845,956,1955,female
2018,1,617,135,2001,female
2018,1,917,111,2000,female
2018,1,547,55,1996,unknown
2018,1,631,217,1944,male
2018,1,987,13,1939,female
2018,1,608,228,1949,female
2018,1,606,94,1983,unknown
2018,1,539,65,1937,female
2018,1,661,51,1988,unknown
2018,1,480,87,1979,unknown
2018,1,516,116,1937,male
2018,1,695,110,1943,female
2018,1,671,102,1992,unknown
2018,1,813,49,1934,female
2018,1,504,53,1936,male
2018,1,1414,30,1899,male
2018,1,4687,48,1923,male
2018,1,1158,3,1956,unknown
2018,1,552,3,1918,male
2018,1,660,35,1971,unknown
2018,1,713,9,1932,female
2018,1,4244,1,1938,female
2018,1,1187,4,1964,unknown
2018,1,2168,2,1919,female
2018,1,1148,1,1934,male
2018,1,341,1,1936,female
2018,1,663,8823,1965,male
2018,1,906,11539,1975,male
2018,1,692,20452,1989,male
2018,1,848,2165,1963,female
2018,1,782,2796,1977,female
2018,1,934,8686,1963,male
2018,1,664,13470,1978,male
2018,1,806,3701,1979,female
2018,1,744,1733,1959,female
2018,1,639,10377,1967,male
2018,1,748,441,2001,male
2018,1,673,8930,1966,male
2018,1,783,4235,1982,female
2018,1,631,1060,2000,male
2018,1,756,2125,1952,male
2018,1,664,7995,1960,male
2018,1,848,4508,1981,female
2018,1,794,3428,1954,male
2018,1,800,1993,1961,female
2018,1,456,9,1954,unknown
2018,1,842,141,1986,unknown
2018,1,619,534,1998,female
2018,1,945,128,1944,female
2018,1,805,92,1941,female
2018,1,611,97,1968,unknown
2018,1,1055,117,1989,unknown
2018,1,545,92,1958,unknown
2018,1,554,127,1978,unknown
2018,1,899,58,1939,male
2018,1,832,27,1963,unknown
2018,1,552,213,1975,unknown
2018,1,823,150,1990,unknown
2018,1,432,24,1933,female
2018,1,649,210,1947,female
2018,1,547,41,1942,female
2018,1,488,8,1950,unknown
2018,1,621,17734,1982,male
2018,1,757,9927,1968,male
2018,1,723,11208,1972,male
2018,1,607,19937,1990,male
2018,1,647,13960,1993,male
2018,1,753,4883,1957,male
2018,1,578,2973,1997,male
2018,1,793,3577,1970,female
2018,1,753,1197,1956,female
2018,1,684,1141,1997,female
2018,1,593,1765,1999,male
2018,1,739,3115,1968,female
2018,1,696,399,1999,female
2018,1,724,6001,1986,female
2018,1,699,4816,1984,female
2018,1,829,519,1952,female
2018,1,797,2908,1965,female
2018,1,754,947,1947,male
2018,1,786,109,1976,unknown
2018,1,411,26,1967,unknown
2018,1,525,151,1984,unknown
2018,1,700,293,1987,unknown
2018,1,875,39,1960,unknown
2018,1,376,280,1900,male
2018,1,563,77,1938,male
2018,1,973,331,1943,male
2018,1,276,2,1931,unknown
2018,1,667,33,1885,unknown
2018,1,473,9,1917,male
2018,1,519,23,1949,unknown
2018,1,661,30,1970,unknown
2018,1,1034,26,1966,unknown
2018,1,385,5,1973,unknown
2018,1,437,4,1935,male
2018,1,383,7,1998,unknown
2018,1,753,11,1894,male
2018,1,1265,5,1886,male
2018,1,776,1,1916,female
2018,1,645,12125,1971,male
2018,1,604,18949,1984,male
2018,1,747,330,1951,female
2018,1,761,6205,1989,female
2018,1,881,2243,1995,female
2018,1,796,2347,1967,female
2018,1,662,10820,1974,male
2018,1,738,1143,1949,male
2018,1,670,14527,1980,male
2018,1,724,3720,1980,female
2018,1,642,7151,1961,male
2018,1,597,3354,1996,male
2018,1,912,2778,1973,female
2018,1,1660,8311,1962,male
2018,1,757,6197,1987,female
2018,1,815,5995,1988,female
2018,1,1116,292,1948,female
2018,1,711,5820,1958,male
2018,1,1974,4837,1983,female
2018,1,733,3636,1955,male
2018,1,652,414,1950,female
2018,1,701,702,1953,female
2018,1,726,2940,1974,female
2018,1,776,1960,1951,male
2018,1,962,464,1942,male
2018,1,482,42,1972,unknown
2018,1,616,145,1940,male
2018,1,889,23,1945,female
2018,1,987,14,1912,unknown
2018,1,619,66,1985,unknown
2018,1,806,37,2001,unknown
2018,1,514,9,2000,unknown
2018,1,204,16,1910,male
2018,1,439,15,1912,male
2018,1,514,6,1962,unknown
2018,1,581,20,1959,unknown
2018,1,1287,17,1901,male
2018,1,1103,2,1900,unknown
2018,2,927,16463,1993,male
2018,2,724,7974,1961,male
2018,2,671,9563,1963,male
2018,2,773,2211,1996,female
2018,2,732,6472,1958,male
2018,2,689,3961,1954,male
2018,2,678,21627,1987,male
2018,2,833,4127,1980,female
2018,2,771,181,2000,female
2018,2,768,6715,1985,female
2018,2,758,7223,1987,female
2018,2,761,8290,1990,female
2018,2,801,5947,1983,female
2018,2,791,2456,1951,male
2018,2,725,7444,1991,female
2018,2,698,3392,1974,female
2018,2,831,4859,1982,female
2018,2,763,4275,1955,male
2018,2,794,2754,1967,female
2018,2,880,121,1977,unknown
2018,2,755,2053,1958,female
2018,2,968,1485,1997,female
2018,2,792,211,1982,unknown
2018,2,645,1241,2000,male
2018,2,913,142,1944,female
2018,2,538,52,1970,unknown
2018,2,622,131,1976,unknown
2018,2,1050,108,1983,unknown
2018,2,661,27,1885,unknown
2018,2,1115,19,1899,male
2018,2,1109,85,1988,unknown
2018,2,3472,39,2001,unknown
2018,2,309,12,1950,unknown
2018,2,547,38,2002,male
2018,2,1016,8,1888,unknown
2018,2,595,5,1917,male
2018,2,2030,1,1951,unknown
2018,2,408,4,1918,male
2018,2,331,6,1929,male
2018,2,416,2,1886,female
2018,2,345,1,1926,male
2018,2,365,1,1916,female
2018,2,706,23525,1989,male
2018,2,655,11264,1994,male
2018,2,900,7509,1988,female
2018,2,792,23066,1990,male
2018,2,2380,35847,1969,unknown
2018,2,751,5639,1957,male
2018,2,675,12961,1975,male
2018,2,764,5040,1981,female
2018,2,712,3971,1979,female
2018,2,926,3959,1970,female
2018,2,673,12414,1974,male
2018,2,707,11457,1968,male
2018,2,2905,6314,1993,female
2018,2,729,3091,1962,female
2018,2,745,918,1998,female
2018,2,688,998,1946,male
2018,2,781,1144,1947,male
2018,2,1171,3689,1978,female
2018,2,802,3497,1976,female
2018,2,765,2986,1972,female
2018,2,906,166,1989,unknown
2018,2,1072,107,1995,unknown
2018,2,673,137,2001,female
2018,2,565,219,1975,unknown
2018,2,1293,298,1987,unknown
2018,2,603,324,1949,female
2018,2,511,99,1974,unknown
2018,2,619,45,1936,male
2018,2,622,65,1965,unknown
2018,2,790,284,1948,female
2018,2,309,50,1940,female
2018,2,1574,29,1991,unknown
2018,2,961,18,1966,unknown
2018,2,695,51,1887,unknown
2018,2,795,156,1979,unknown
2018,2,530,25,1949,unknown
2018,2,224,17,1921,male
2018,2,780,100,1941,female
2018,2,324,10,2000,unknown
2018,2,1058,21,1912,unknown
2018,2,403,15,1954,unknown
