RESEAU;STATUT;created_user;created_date;last_edited_user;last_edited_date;st_length(shape);geo_shape;geo_point_2d
secondaire;existant;;;;;396.7569446756509;"{""coordinates"": [[2.3351310002937735, 48.901064000079536], [2.336311000370215, 48.8990320004006], [2.337384000053391, 48.8978329998684]], ""type"": ""LineString""}";48.899391393790516, 2.3361788567468333
secondaire;existant;;;;;791.3007488622349;"{""coordinates"": [[2.3520180005502374, 48.836843000198435], [2.3617169998948566, 48.83995000030608]], ""type"": ""LineString""}";48.83839650025226, 2.356867500222547
secondaire;existant;;;;;636.7122998361491;"{""coordinates"": [[2.2409749997018205, 48.86384000034467], [2.2429279994492557, 48.86369799981791], [2.2439579994788525, 48.86410800004019], [2.2455240006112382, 48.86460200037646], [2.2469190003120567, 48.864672000188044], [2.247970000274627, 48.864643999941414], [2.2487429996677424, 48.86484200019052], [2.249215000633846, 48.864940999698504]], ""type"": ""LineString""}";48.864311410745366, 2.245089210305777
secondaire;existant;;;;;685.0095166216319;"{""coordinates"": [[2.3857069995622435, 48.88290700034078], [2.3844190003440557, 48.883922999953036], [2.380041999553096, 48.887802999604276]], ""type"": ""LineString""}";48.88532680391617, 2.382850914577418
secondaire;à réaliser;;;;;555.5957487887706;"{""coordinates"": [[2.320110999776114, 48.84501900012176], [2.3269770001517496, 48.84712399958349]], ""type"": ""LineString""}";48.84607149985263, 2.323543999963932
vélopolitain;à réaliser;;;;;621.0960948139478;"{""coordinates"": [[2.263355000462601, 48.85793899990492], [2.267302999842869, 48.86287999980778]], ""type"": ""LineString""}";48.860409499856345, 2.265329000152735
secondaire;à réaliser;;;;;616.1098582231915;"{""coordinates"": [[2.3433919997779435, 48.841220999832075], [2.350688000611879, 48.8384810000674]], ""type"": ""LineString""}";48.83985099994973, 2.3470400001949114
secondaire;à réaliser;;;;;3565.843196950589;"{""coordinates"": [[2.321634000367903, 48.87970300000392], [2.320389999696742, 48.88201800007901], [2.3170419995075737, 48.88543199975897], [2.3155400001073114, 48.886730000076575], [2.314296000182193, 48.88732299982228], [2.3112490000044352, 48.887943999626884], [2.307901000683406, 48.887802999804215], [2.303267000099472, 48.88709699959295], [2.299919000563455, 48.88633499967909], [2.284384000043532, 48.87815100027279]], ""type"": ""LineString""}";48.88441156027152, 2.303804176406532
secondaire;à réaliser;;;;;1098.2131570914185;"{""coordinates"": [[2.349271999845871, 48.85714799988953], [2.3497010004688685, 48.85721900016716], [2.351417999626578, 48.85757200015234], [2.355773000211869, 48.86546300042958]], ""type"": ""LineString""}";48.86070415370814, 2.3529608469680547
secondaire;à réaliser;;;;;804.1644942652258;"{""coordinates"": [[2.355323000403427, 48.83198399995244], [2.350688000574146, 48.83853699998525]], ""type"": ""LineString""}";48.83526049996885, 2.3530055004887864
vélopolitain;à réaliser;;;;;846.2166739988762;"{""coordinates"": [[2.26504999962571, 48.83425799972812], [2.267624999790651, 48.83656000020547], [2.2695350003584354, 48.838707000221966], [2.2707370003697673, 48.84017600004327], [2.271509000146384, 48.840471999884045]], ""type"": ""LineString""}";48.837409575944484, 2.2682828976480978
