Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,num_veh_y,senc,obs,obsm,choc,manv,motor,catr,voie,v1,v2,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,age
201900000051,29,11,2019,0 days 17:10:00,2,45,45234,2,6,1,3,RUE DES MONTEES,"47,8763800","1,9145000",1,1,1,1951.0,1,1,4,-1,B01,0,0,2,0,9,5,4, RUE DES MONTEES,0.0,,1,2,0,1,2,1,0,1,50,child
201900000051,29,11,2019,0 days 17:10:00,2,45,45234,2,6,1,3,RUE DES MONTEES,"47,8763800","1,9145000",1,4,1,2004.0,0,8,0,-1,B01,0,0,2,0,9,5,4, RUE DES MONTEES,0.0,,1,2,0,1,2,1,0,1,50,adult
201900000065,27,11,2019,0 days 13:00:00,1,33,33522,2,4,2,3,BD DU PDT FRANKLIN ROOSEVELT,"44,8202000"," -0,5814500",1,1,1,1948.0,5,8,0,-1,A01,1,0,2,1,1,5,4,BD DU PDT FRANKLIN ROOSEVELT,0.0,,3,6,0,1,1,2,0,1,50,child
201900000065,27,11,2019,0 days 13:00:00,1,33,33522,2,4,2,3,BD DU PDT FRANKLIN ROOSEVELT,"44,8202000"," -0,5814500",2,1,2,1961.0,0,8,0,-1,A01,1,0,2,1,1,5,4,BD DU PDT FRANKLIN ROOSEVELT,0.0,,3,6,0,1,1,2,0,1,50,adult
201900000065,27,11,2019,0 days 13:00:00,1,33,33522,2,4,2,3,BD DU PDT FRANKLIN ROOSEVELT,"44,8202000"," -0,5814500",1,4,1,2002.0,0,8,0,-1,A01,1,0,2,1,1,5,4,BD DU PDT FRANKLIN ROOSEVELT,0.0,,3,6,0,1,1,2,0,1,50,adult
201900000113,20,9,2019,0 days 20:05:00,5,974,97411,2,1,1,3,BOIS DE NEFLES (ROUTE DE)," -20,9058900","55,4783700",1,1,2,1960.0,0,8,8,-1,A01,3,0,2,8,14,5,4,BOIS DE NEFLES (ROUTE DE),0.0,,2,0,0,2,3,1,0,1,50,child
201900000113,20,9,2019,0 days 20:05:00,5,974,97411,2,1,1,3,BOIS DE NEFLES (ROUTE DE)," -20,9058900","55,4783700",1,4,1,2002.0,0,8,0,-1,A01,3,0,2,8,14,5,4,BOIS DE NEFLES (ROUTE DE),0.0,,2,0,0,2,3,1,0,1,50,adult
201900000143,19,9,2019,0 days 17:45:00,2,67,67482,2,1,1,1,KLEBSAU (RUE DE LA),"48,5450000","7,7746300",1,1,1,1965.0,0,1,8,-1,B01,2,0,2,1,5,5,4,KLEBSAU (RUE DE LA),0.0,,2,2,1,1,2,1,0,1,50,child
201900000143,19,9,2019,0 days 17:45:00,2,67,67482,2,1,1,1,KLEBSAU (RUE DE LA),"48,5450000","7,7746300",1,4,2,2005.0,0,8,0,-1,B01,2,0,2,1,5,5,4,KLEBSAU (RUE DE LA),0.0,,2,2,1,1,2,1,0,1,50,adult
201900000151,17,2,2019,0 days 07:45:00,1,60,60471,2,6,1,3,AVENUE JEAN JAURÈS,"49,5782422","2,9943981",1,1,1,1955.0,5,1,-1,-1,B01,0,0,2,1,1,5,3,932,0.0,,1,1,0,1,2,1,0,1,50,child
201900000151,17,2,2019,0 days 07:45:00,1,60,60471,2,6,1,3,AVENUE JEAN JAURÈS,"49,5782422","2,9943981",1,4,1,1987.0,5,2,9,-1,B01,0,0,2,1,1,5,3,932,0.0,,1,1,0,1,2,1,0,1,50,adult
201900000181,16,2,2019,0 days 15:30:00,1,28,28287,1,1,1,5,D.153.4 PK: 08+550,"48,1574460","1,6877360",1,3,1,1953.0,5,2,-1,-1,C01,2,0,2,0,1,5,3,153.4,,,2,2,0,1,1,1,0,1,80,child
201900000181,16,2,2019,0 days 15:30:00,1,28,28287,1,1,1,5,D.153.4 PK: 08+550,"48,1574460","1,6877360",1,1,1,1993.0,5,2,-1,-1,C01,2,0,2,0,1,5,3,153.4,,,2,2,0,1,1,1,0,1,80,adult
201900000181,16,2,2019,0 days 15:30:00,1,28,28287,1,1,1,5,D.153.4 PK: 08+550,"48,1574460","1,6877360",1,1,2,2002.0,5,1,-1,-1,C01,2,0,2,0,1,5,3,153.4,,,2,2,0,1,1,1,0,1,80,adult
201900000182,18,2,2019,0 days 11:45:00,1,28,28137,1,1,1,2,D32,"48,5515960","1,7361330",1,2,1,1943.0,5,0,-1,-1,B01,1,0,0,4,2,5,3,32,0.0,,2,1,0,4,1,1,0,1,80,child
201900000182,18,2,2019,0 days 11:45:00,1,28,28137,1,1,1,2,D32,"48,5515960","1,7361330",1,1,1,1995.0,0,1,-1,-1,B01,1,0,0,4,2,5,3,32,0.0,,2,1,0,4,1,1,0,1,80,adult
201900000188,14,2,2019,0 days 15:15:00,1,68,68375,1,1,1,3,RD2 intersection rue d'ensisheim,"47,8164620","7,2676050",1,1,2,1934.0,5,1,-1,-1,B01,2,0,2,3,1,5,3,2,,,2,2,0,2,1,1,0,1,80,child
201900000188,14,2,2019,0 days 15:15:00,1,68,68375,1,1,1,3,RD2 intersection rue d'ensisheim,"47,8164620","7,2676050",1,4,1,1957.0,5,0,-1,-1,B01,2,0,2,3,1,5,3,2,,,2,2,0,2,1,1,0,1,80,adult
201900000192,17,2,2019,0 days 19:10:00,2,76,76660,1,1,1,3,N 1029,"49,4425301","0,2726543",1,1,1,1959.0,5,2,6,-1,B01,1,0,0,0,1,5,2,1029,,,3,4,1,2,1,1,2,5,70,child
201900000192,17,2,2019,0 days 19:10:00,2,76,76660,1,1,1,3,N 1029,"49,4425301","0,2726543",2,3,2,1962.0,5,2,6,-1,B01,1,0,0,0,1,5,2,1029,,,3,4,1,2,1,1,2,5,70,adult
