Title,Publication Year,Image URL,Article Content,Article Description,female_mentions,male_mentions,representation
Trek's FX+ 2 Electric Bike Is $500 off Right Now,2024,"https://media.wired.com/photos/637bf1c75f19e0abdaa1e267/191:100/w_1280,c_limit/Trek-FX+-2-Featured-Gear.jpg","Here in the Pacific Northwest, spring has sprung. Yes, it is but a false spring, and by the end of the week, we will again be moping through chilly gloom and rain. But for the time being, the sun is … [+2606 chars]","Welcome to TrekFest, Trek's yearly sale on electric bikes, helmets, shoes, and everything you need for spring cycling.",1,2,male
Cowboy’s new all-road e-bike adds suspension and a much bigger battery,2024,NULL,"Si vous cliquez sur « Tout accepter », nos partenaires (y compris 241 qui font partie du Cadre de transparence et de consentement dIAB) et nous utiliserons également des témoins et vos données person… [+982 chars]","Like many premium electric rides, Cowboy's e-bikes make short commutes easier, especially those involving hills or a lot of stop-start traffic. Its latest bike is an attempt to address another challenge: comfort. The Cowboy Cross is the company’s first “all-r…",1,3,male
Police officer borrows passer-by's bike to chase down suspect,2024,https://ichef.bbci.co.uk/news/1024/branded_news/35A4/production/_133123731_11onlinestill3-1.jpg,"A man has been arrested after a strange"" pursuit in which a police officer ditched his car in favour of a passer-by's bike in Rotherham.",,2,5,male
"The chase started after the driver of a Range Rover Evoque w… [+789 chars]""",A police officer gives chase in Rotherham - after a passer-by offers his bike.,NULL,NULL,NULL,2,5,male
"Girl, 5, dies after bike collides with lorry",2024,https://ichef.bbci.co.uk/news/1024/branded_news/2BD6/production/_133122211_mediaitem133122210.jpg,"A five-year-old girl has died after colliding with an HGV lorry while riding a bike in Hull.
Humberside Police were called to Hopewell Road in the Bilton Grange area at 15:40 BST on Thursday.
Despi… [+653 chars]",Humberside Police were called to Hopewell Road in the Bilton Grange area of Hull on 11 April.,2,2,equal
Kickstart Your Fitness Journey With Amazon Spring Savings on Peloton Bikes and Accessories - CNET,2024,https://www.cnet.com/a/img/resize/60be8a2d743ee21841edb03efa25edf376cb8239/hub/2023/11/07/8387f829-100c-4750-b2b0-bcf0ec78327d/artboard-4.jpg?auto=webp&fit=crop&height=675&width=1200,"Kicking things off, we have the bike that started it all. The Peloton Bike is now just $1,250, a price that saves you $195 off the usual going rate. For that price, you'll get an immersive 22-inch HD… [+1559 chars]",Amazon's Big Spring Sale is taking up to $395 off Peloton Bikes and as much as 51% off accessories and apparel.,0,1,male
Motorcyclist falls from bridge after car collision,2024,https://ichef.bbci.co.uk/news/1024/branded_news/6FA0/production/_132967582_p0hkmcc3.jpg,"Video showed the moment a motorcyclist was thrown from his bike and over a bridge after being hit by a car.
Police said driver Nikesh Mistry, 34, had forced the rider on to the wrong side of the car… [+884 chars]",Video shows a rider being pushed against railings by a car after a disagreement with its driver.,1,5,male
TNW Podcast: We try the new Cowboy bike and talk to the founders,2024,https://img-cdn.tnwcdn.com/image/tnw-blurple?filter_last=1&fit=1280%2C640&url=https%3A%2F%2Fcdn0.tnwcdn.com%2Fwp-content%2Fblogs.dir%2F1%2Ffiles%2F2023%2F12%2Ftnw-podcast-feat-1.png&signature=1ca57b225d69caf0b718b7a8dc0fc9a9,Welcome to the new episode of the TNW Podcast the show where we discuss the latest developments in the European technology ecosystem and feature interviews with some of the most interesting people in… [+534 chars],"Welcome to the new episode of the TNW Podcast — the show where we discuss the latest developments in the European technology ecosystem and feature interviews with some of the most interesting people in the industry. In today’s episode, Andrii and Linnea talk …",2,5,male
A Drone Motor Does e-Bikes,2024,https://hackaday.com/wp-content/uploads/2024/04/drone-bike-featured.jpg,"On paper, the motors from both an electric bicycle and a drone can both take about 500 watts or so of power. Of course, their different applications make them anything but equivalent, as the bike mot… [+1091 chars]","On paper, the motors from both an electric bicycle and a drone can both take about 500 watts or so of power. Of course, their different applications make them anything but equivalent, as the bike m…",0,2,male
CAROL Bike,2024,https://uncrate.com/p/2024/03/carol-bike-1.jpg,"For non-aficionados, the wine aisle can be a daunting place. Instead of leaving your choices up to the allure of the label, give Naked Wines a try. They pick wines that match your tastes, determined … [+451 chars]","The number one reason most people don't work out is lack of time. Offering the shortest, most effective, and most accessible way to exercise, CAROL is the fastest way to get fit. The smart exercise bike uses a combination of...",0,2,male
