Title,Publication Year,Image URL,Article Content,Article Description,female_mentions,male_mentions,representation
"Paris à vélo : dix haltes arborées, de l’Opéra aux Buttes-Chaumont",2024,https://img.lemde.fr/2024/04/10/0/287/1717/1145/1440/960/60/0/d84e5c6_1712745900388-p1000887-copie.jpg,"LA LISTE DE LA MATINALE
Une autoroute cyclable ! La double voie pour vélo aménagée rue Lafayette permet de traverser comme un bolide les très minéraux 9e et 10e arrondissements de Paris. De quoi se … [+3136 chars]","Pins noirs, paulownias, palmiers-dattiers et sophoras du Japon sont autant d’arbres remarquables qui ponctuent cette virée à bicyclette du 9ᵉ au 19ᵉ arrondissement de la capitale. Des étapes vertes aussi savantes que rafraîchissantes.",0,0,equal
Gonflez vos pneus sans effort avec cette pompe à air Xiaomi à petit prix,2024,https://www.numerama.com/wp-content/uploads/2024/03/pompe-a-air-xiaomi-une.jpg,"[Deal du jour] AliExpress casse le prix de la pompe à air Mi Portable Air Pump 2 de Xiaomi. Une très belle offre pour cet appareil qui gonfle en un rien de temps ballons et roues de scooter, vélo ou … [+2185 chars]","[Deal du jour] AliExpress casse le prix de la pompe à air Mi Portable Air Pump 2 de Xiaomi. Une très belle offre pour cet appareil qui gonfle en un rien de temps ballons et roues de scooter, vélo ou encore trottinette.",2,2,equal
Vous vous déplacez à vélo en famille. Racontez-nous,2024,https://img.lemde.fr/2024/03/28/625/0/5619/2809/1440/720/60/0/8e5de88_1711639609451-hemis-2a0pap4.jpg,"La Société éditrice du Monde souhaite présenter dans ses publications une sélection de témoignages, sous forme décrits, de photographies et de vidéos (ci-après désignés ensemble ou séparément Contri… [+4179 chars]""","En ville comme à la campagne, vous vous êtes décidé – ou avez renoncé – à rouler avec vos enfants à bicyclette. Racontez-nous comment et pourquoi vous avez fait ce choix.",0,2,male
À quand un vrai coup de pédale dans la campagne de Joe Biden ?,2024,https://focus.courrierinternational.com/2024/04/08/0/0/839/1119/1200/630/60/0/874a850_1712590399360-image-4.png,"Un cycliste tente de faire avancer sa bicyclette tant bien que mal, mais ses roues sembourbent et le vélo perd de la vitesse. Bref, la course à la Maison-Blanche sannonce laborieuse pour Joe Biden. C… [+2589 chars]","Les débuts poussifs de la campagne de réélection de Joe Biden donnent pour l’heure des sueurs froides aux démocrates. Mais un bon coup d’accélérateur pourrait faire taire les plus pessimistes, estime le magazine “Time”.",0,0,equal
REPORTAGE. Sans aménagement," les gens sont condamnés à la bagnole"" : quand des communes en zones rurales développent des pistes cyclables""",2024,https://www.francetvinfo.fr/pictures/4R4kLPGywEqp5uh3cYERoP-nzSI/1500x843/2024/03/20/velo-rural-65fb5ef4ae6e6229537055.jpg,"Quelle place pour le vélo en zone rurale ? Le congrès de la Fédération française des usagers de la bicyclette, la FUB, s'ouvre jeudi 21 mars à Grenoble. Au programme de ces deux jours d'ateliers et d… [+2841 chars]",1,0,female
Test Kalkhoff Image C Advance+ : ce vélo électrique compact est une pépite,2024,https://www.01net.com/app/uploads/2024/03/Kalkhoff-Image-C-Advance-1.jpg,"Avec ses petites roues de 20 pouces, ce modèle de poche du constructeur allemand est taillé pour une utilisation urbaine. Mais il cache également bien dautres atouts insoupçonnés. Attention coup de c… [+8246 chars]","Avec ses petites roues de 20 pouces, ce modèle de poche du constructeur allemand est taillé pour une utilisation urbaine. Mais il cache également bien d’autres atouts insoupçonnés.",0,2,male
Test du Tenways CG009 : la meilleure alternative à VanMoof et Cowboy en vélo électrique urbain ?,2024,https://www.01net.com/app/uploads/2024/03/Tenways-CG009-2.jpg,"Avec son design très réussi, ce VAE a de quoi séduire au premier regard. Mais est-il pour autant aussi performant et agréable à piloter que ses concurrents directs ? « Lenfant caché dun VanMoof et du… [+8939 chars]","Avec son design très réussi, ce VAE a de quoi séduire au premier regard. Mais est-il pour autant aussi performant et agréable à piloter que ses concurrents directs ?",0,3,male
"La baguette en goguette : Dylan Corlay, le maestro qui fait son “Tour d’orchestre(s) à bicyclette”",2024,https://focus.telerama.fr/2024/04/12/733/437/4073/2715/1200/800/60/0/63e0e7f_1712921022113-dylan-6081a-julien-boulanger.jpg/webp,"Musicien aussi chevronné que fantasque, Dylan Corlay conjugue jusquau 14 juillet sa passion de la scène et du vélo. De Nantes à Nice, le chef dirigera une dizaine densembles, se rendant à bicyclette … [+5690 chars]","Musicien aussi chevronné que fantasque, Dylan Corlay conjugue jusqu’au 14 juillet sa passion de la scène et du vélo. De Nantes à Nice, le chef dirigera une dizaine d’ensembles, se rendant à bicyclette d’un concert à l’autre. Show devant !",0,2,male
Les femmes en force au cœur du peloton : le vélo comme vecteur d’émancipation,2024,https://www.lalibre.be/resizer/v2/KCNRT6COUJDCVLE5JVKJYRWRTY.jpg?auth=d89f4478cd4a012806ccbb5acac255f20289d9883690df7dea117066dd75e60e&width=1200&height=630&quality=85&focal=256%2C170&watermark=https%3A%2F%2Fcloudfront-eu-central-1.images.arcpublishing.com%2Fipmgroup%2F3R4IDPARFVEO3L2LC5OCCXQ5RM.png%3A100%3A0%2C557,"Nous ne sommes bien sûr plus au début XXe, quand la bicyclette était considérée comme un accessoire masculin. Mais les freins à lutilisation du vélo restent plus forts chez les femmes. On identifie … [+5963 chars]""","La Flèche wallonne mercredi, Liège-Bastogne-Liège dimanche, la semaine prochaine, le vélo sera roi. Avec chaque fois des épreuves féminines. Car la petite reine n’a jamais aussi bien porté son nom. ...",4,1,female
"Mercedes 300 SL : un record de vitesse, mais à vélo (les voitures les plus rapides du monde)",2024,https://images.caradisiac.com/images/7/9/5/3/207953/S7-207953-795684.jpg,"Cest une injustice. Lune des plus légendaire sportive de tous les temps, la Mercedes 300 SL na jamais battu de record du monde de vitesse, du moins pas officiellement, et si elle y est parvenue, c'es… [+4428 chars]","Elle était, à son époque, la voiture de série la plus rapide au monde, sans pour autant que le record ne soit attesté. En revanche, le chef-d’œuvre aux portes papillons de l'étoile a participé à un autre exploit, dûment homologué : celui d'un cycliste qui a r…",2,2,equal
