Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202000000011,5,3,2020,11:50:00,1,59,59143,2,3,1,-1,"BEAUCHAMP  (RUE LEON )","50,6785000","2,8742000",202000000011,154 742 256,B01,2,1,0,2,5,19,5,NULL,202000000011,154 742 255,A01,1,1,1,2,1934,5,1,8,-1,-1,0,-1,202000000011,7,22,0,NULL,2,3,0,1,(1),(1),3,NULL," -1",1,0,1,50
202000000011,5,3,2020,11:50:00,1,59,59143,2,3,1,-1,"BEAUCHAMP  (RUE LEON )","50,6785000","2,8742000",202000000011,154 742 256,B01,2,1,0,2,5,19,5,NULL,202000000011,154 742 256,B01,1,1,4,1,2005,2,8,0,-1,-1,0,-1,202000000011,7,22,0,NULL,2,3,0,1,(1),(1),3,NULL," -1",1,0,1,50
202000000014,7,3,2020,13:20:00,1,51,51454,2,7,1,2,"Avenue de l’Europe","49,2556464","4,0611947",202000000014,154 742 248,B01,2,1,0,2,4,16,5,NULL,202000000014,154 742 248,B01,1,1,4,1,1936,5,2,4,-1,-1," -1",-1,202000000014,4,NULL,0,NULL,2,2,1,1,(1),(1),3,NULL," -1",1,0,1,50
202000000014,7,3,2020,13:20:00,1,51,51454,2,7,1,2,"Avenue de l’Europe","49,2556464","4,0611947",202000000014,154 742 248,B01,2,1,0,2,4,16,5,NULL,202000000014,154 742 249,A01,1,1,1,1,1928,0,1,-1,-1,-1," -1",-1,202000000014,4,NULL,0,NULL,2,2,1,1,(1),(1),3,NULL," -1",1,0,1,50
202000000031,4,3,2020,20:00:00,3,75,75117,2,3,2,3,"BOULEVARD DE REIMS","48,8891650","2,2975300",202000000031,154 742 219,A01,1,1,0,2,8,19,5,NULL,202000000031,154 742 219,A01,1,1,4,1,1994,5,2,0,-1,0,0,-1,202000000031,4,NULL,0,NULL,3,4,0,1,0,0,1,NULL," -1",2,0,1,50
202000000031,4,3,2020,20:00:00,3,75,75117,2,3,2,3,"BOULEVARD DE REIMS","48,8891650","2,2975300",202000000031,154 742 219,A01,1,1,0,2,8,19,5,NULL,202000000031,154 742 220,B01,1,1,1,2,1985,1,1,0,-1,0,0,-1,202000000031,4,NULL,0,NULL,3,4,0,1,0,0,1,NULL," -1",2,0,1,50
202000000032,6,3,2020,20:40:00,5,75,75114,2,1,1,3,"BOULEVARD ARAGO","48,8344810","2,3342120",202000000032,154 742 218,B01,2,1,0,2,8,1,5,NULL,202000000032,154 742 218,B01,1,1,4,2,1999,9,8,0,-1,0,0,-1,202000000032,4,NULL,0,NULL,2,4,1,1,0,0,1,NULL," -1",1,0,5,30
202000000035,6,3,2020,21:00:00,5,75,75104,2,7,1,3,"QUAI DE GESVRES","48,8571810","2,3473270",202000000035,154 742 213,A01,2,1,0,2,5,12,5,NULL,202000000035,154 742 213,A01,1,1,4,1,1993,5,8,0,-1,0,0,-1,202000000035,4,NULL,0,NULL,1,3,3,1,0,0,1,NULL," -1",1,0,6,50
202000000035,6,3,2020,21:00:00,5,75,75104,2,7,1,3,"QUAI DE GESVRES","48,8571810","2,3473270",202000000035,154 742 213,A01,2,1,0,2,5,12,5,NULL,202000000035,154 742 214,B01,1,1,1,1,1965,4,1,0,-1,0,0,-1,202000000035,4,NULL,0,NULL,1,3,3,1,0,0,1,NULL," -1",1,0,6,50
202000000059,7,3,2020,11:05:00,1,38,38012,2,1,1,1,"Route de Saint Genix","45,5979430","5,6308460",202000000059,154 742 173,B01,2,1,0,1,2,1,5,NULL,202000000059,154 742 172,A01,1,1,1,2,1972,0,1,-1,-1,0,0,-1,202000000059,3,1516,0,NULL,2,2,0,2,15,625,1,NULL," -1",1,0,1,50
