Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,Num_Acc,id_vehicule,num_veh,senc,catv,obs,obsm,choc,manv,motor,occutc,Num_Acc,id_usager,id_vehicule,num_veh,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
2.021E+11,30,11,2021,07:32:00,2,30,30319,1,1,1,1,CD 981,"440,389,580,000","43,480,220,000",2.021E+11,201 764,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 638,201 764,B01,1,1,3,1,2000,1,0,9,-1,0,0,-1,2.021E+11,3,981,-1,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,80
2.021E+11,30,11,2021,07:32:00,2,30,30319,1,1,1,1,CD 981,"440,389,580,000","43,480,220,000",2.021E+11,201 764,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 639,201 765,A01,1,1,1,1,1978,1,1,-1,-1,0,0,-1,2.021E+11,3,981,-1,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,80
2.021E+11,23,11,2021,11:10:00,1,68,68004,2,3,1,2,Rue Charles Edouard Amiot,"476,142,390,000","72,343,360,000",2.021E+11,201 752,B01,2,1,0,0,5,1,5,NULL,2.021E+11,267 625,201 752,B01,1,1,4,1,2009,2,0,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,2,2,0,1,-1,-1,1,NULL,4,1,0,1,50
2.021E+11,23,11,2021,11:10:00,1,68,68004,2,3,1,2,Rue Charles Edouard Amiot,"476,142,390,000","72,343,360,000",2.021E+11,201 752,B01,2,1,0,0,5,1,5,NULL,2.021E+11,267 626,201 753,A01,1,1,1,1,1976,5,1,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,2,2,0,1,-1,-1,1,NULL,4,1,0,1,50
2.021E+11,2,9,2021,11:00:00,1,71,71540,2,1,1,2,Route des Perraudins,"467,668,890,000","44,566,240,000",2.021E+11,201 693,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 533,201 693,B01,1,1,3,1,2001,5,-1,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,2,9,2021,11:00:00,1,71,71540,2,1,1,2,Route des Perraudins,"467,668,890,000","44,566,240,000",2.021E+11,201 693,B01,1,1,0,2,1,1,5,NULL,2.021E+11,267 534,201 694,A01,1,1,1,-1,NULL,-1,8,-1,-1,0,0,-1,2.021E+11,4,NULL,-1,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,0,1,50
2.021E+11,9,11,2021,23:30:00,5,31,31555,2,9,1,3,SQUARE DE L HERACLES,"436,074,900,000","14,281,200,000",2.021E+11,201 658,A01,3,1,0,2,8,1,5,NULL,2.021E+11,267 481,201 657,B01,1,1,1,-1,NULL,-1,-1,-1,-1,-1,-1,-1,2.021E+11,4,SQUARE DE L HERACLES,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,2,1,50
2.021E+11,9,11,2021,23:30:00,5,31,31555,2,9,1,3,SQUARE DE L HERACLES,"436,074,900,000","14,281,200,000",2.021E+11,201 658,A01,3,1,0,2,8,1,5,NULL,2.021E+11,267 482,201 658,A01,1,1,4,2,1981,5,8,8,-1,-1,-1,-1,2.021E+11,4,SQUARE DE L HERACLES,0,NULL,2,2,0,1,-1,-1,1,NULL,-1,1,2,1,50
2.021E+11,4,11,2021,17:31:00,1,60,60057,2,1,1,3,Rue du Pont d’Arcole,"494,262,285,502","20,853,413,343",2.021E+11,201 625,B01,0,1,0,2,0,0,-1,NULL,2.021E+11,267 431,201 625,B01,1,1,4,1,2005,-1,0,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,2,2,-1,1,-1,-1,1,NULL,"5,5",1,0,1,-1
2.021E+11,4,11,2021,17:31:00,1,60,60057,2,1,1,3,Rue du Pont d’Arcole,"494,262,285,502","20,853,413,343",2.021E+11,201 625,B01,0,1,0,2,0,0,-1,NULL,2.021E+11,267 432,201 626,A01,1,1,1,1,1969,-1,0,-1,-1,-1,-1,-1,2.021E+11,4,NULL,-1,NULL,2,2,-1,1,-1,-1,1,NULL,"5,5",1,0,1,-1
2.021E+11,14,10,2021,17:10:00,1,60,60057,2,1,1,1,Rue Alphonse Dupont,"494,186,200,000","20,834,300,000",2.021E+11,201 623,B01,0,1,0,0,0,0,0,NULL,2.021E+11,267 428,201 623,B01,1,1,3,1,2007,0,0,-1,-1,-1,-1,-1,2.021E+11,4,DUPONT ALPHONSE (RUE),0,NULL,1,0,0,1,-1,-1,1,NULL,-1,1,0,1,30
2.021E+11,14,10,2021,17:10:00,1,60,60057,2,1,1,1,Rue Alphonse Dupont,"494,186,200,000","20,834,300,000",2.021E+11,201 623,B01,0,1,0,0,0,0,0,NULL,2.021E+11,267 429,201 623,B01,2,2,1,1,2007,0,0,-1,-1,-1,-1,-1,2.021E+11,4,DUPONT ALPHONSE (RUE),0,NULL,1,0,0,1,-1,-1,1,NULL,-1,1,0,1,30
